Cluster	b1_WT_rep1	b1_WT_rep2	b2_WT_rep1	b1_clsy12	b2_clsy12	b1_clsy3	b2_clsy3	b1_clsy4	b2_clsy4	b1_clsy34	b2_clsy34	b1_pol_iv	b2_pol_iv	b1_rim22_3	b2_rim22_3	b2_rim22_2	b1_rim22_2
merged_5_8611353	22.69	28.47	18.54	2.52	3	43.73	40.25	29.38	19.56	63.93	44.54	1.24	0	29.27	31.95	27.59	27.92
merged_5_17481682	20.76	18.56	9.19	0.54	1.2	29.9	18.49	18.32	7.2	36.74	18.18	0.45	0.17	23.56	17.86	18.63	18.13
merged_1_21524084	14.11	10.93	6.98	1.18	0.37	17.35	12.25	17.57	4.5	17.33	15.65	0	0	13.62	5.75	8.01	12.68
merged_5_14062129	26.27	31.41	32.98	22.61	23.76	38.12	42.63	22.66	15.27	25.12	20.29	0.52	0.39	31.04	35.62	32.82	36.87
merged_1_15961489	17.41	20.35	13.66	22.09	21.77	10.35	7.35	13.01	8.83	3.39	2.78	0.55	0.27	38.51	36.08	26.61	55.47
merged_5_11235493	1.3	1.18	0.96	1.62	1.09	2.55	1.62	1.11	0.51	0.76	0.44	0.08	0.06	1.29	2.1	0.62	2.43
merged_3_10031049	52.4	60.21	38.42	1.21	1.53	89.05	77.43	64.85	43.03	129.49	89.48	3.04	0.3	53.02	56.73	43.28	61.44
merged_2_9891227	6.68	4.53	9.27	0.56	0.09	8.59	19.38	5.63	10.65	6.69	19.05	0.12	0	8.45	12.62	7.65	6.08
merged_1_30251153	37.66	50.54	41.24	1.66	1.72	72.71	60.48	62.6	36.08	79.4	70.76	2.36	0.19	39.37	40.08	37.36	41.46
merged_1_10443939	46.13	37.02	24.33	0.28	0.53	70.22	44.95	47.15	20.63	93.74	44.45	1.85	0.53	68.29	48.41	22.43	49.8
merged_3_18270811	33.81	47.43	24.75	0.52	0.55	83.82	51.72	59.42	30.02	114.01	64.65	1.86	0.76	63.94	33.15	30.62	62.03
merged_1_16565888	6.35	8.41	5.21	0.49	0	14.56	4.68	6.07	6.56	16.87	7.5	0.41	0	17.33	10.45	6.72	10.92
merged_3_10781768	0.67	4.13	2.13	0.38	0	9.36	7.73	16.56	5.44	70.38	32.34	0.63	0.24	4.71	2.17	1.57	3.46
merged_5_28447	5.76	6.63	6.23	3.85	7	7.52	7.78	6.7	5.88	6.37	7.73	0.32	0.25	3.77	3.84	4.66	4.88
merged_2_7090905	84.92	106.93	66.68	0.97	1.43	159.57	105.46	104.63	59.98	184.5	132.4	1.86	1.01	130.2	98.65	63.69	108.2
merged_4_2212537	7.66	8.45	5.2	0.34	0.53	12.75	12.3	9.58	5.47	18.32	12.87	0	0.63	7.91	6.47	4.16	8.38
merged_3_16221605	14.8	15.12	12.18	2.22	3.07	19.89	16.16	15.1	10.84	19.71	14.36	0.53	0.29	28	26.95	27.65	26.05
merged_1_4658154	34.28	38.37	31.24	0.79	0.12	63.79	46.23	49.39	20.65	85.94	62.39	1.3	0	44.88	38.85	38.23	44.95
merged_2_3965054	23.45	39.52	27.01	65.05	44.9	18.05	17.04	28.46	30.75	5.09	2.6	0.55	0.09	28.13	42.78	41.47	45.98
merged_1_21610445	6.38	5.15	3.65	3.16	2.27	12.41	8.85	3.44	1.36	6.26	5.56	0.21	0.32	8.16	5.18	4.81	8.41
merged_4_1089124	8.65	10.08	1.39	0.35	0	13.52	5.19	11.74	4.68	35.82	14.93	0	0.22	9.27	5.16	1.88	8.78
merged_2_1409357	6.13	4.87	1.93	0	0.27	7.3	4.2	5.15	1.11	9.6	4.64	0.17	0.26	12.54	7.39	4.18	6.77
merged_3_12660837	13.97	8.35	10.15	5.02	1.96	23.74	22.53	14.2	13.56	25.76	21.95	0.95	0	11.98	16.09	12.35	19.44
merged_3_9130521	4.53	9.46	8.06	0.2	0	16.39	18.68	71.02	55.24	180.59	145.78	1.68	0.13	21.3	36.04	18.72	7.74
merged_1_13594456	2.97	3.11	2.73	2.55	2.49	3.86	3.59	2.31	1.78	2.95	3.34	0.2	0.06	2.68	3.35	2.86	4.16
merged_2_2670878	5.33	6.06	1.89	1.29	1.83	8.77	6.58	6.44	2.11	8.72	4.02	0.33	0	6.01	7.05	3.57	6.47
merged_1_15058598	2.24	2.83	0.8	2.18	1.38	6.53	2.38	0.76	1.16	3.1	1.98	0.07	0	3.19	1.98	0.51	5.13
merged_2_6015601	81.61	78.52	41.74	0.5	0.73	129.68	106.73	93.11	57.97	143.66	95.13	3.4	1.45	92.91	98.17	50.5	89.13
merged_5_490003	13.1	12.19	7.04	0.63	0.32	21.36	15.9	15.16	6.43	24.79	15.26	0.1	0.04	19.18	10.06	9.74	13.27
merged_5_13051662	27.49	34.42	21.57	37.66	36.9	15.18	10.39	6.59	6.44	0.41	0.22	0.77	0.2	38.9	37.66	31.86	49.91
merged_2_10354561	6.64	6.59	5.02	1.03	1.31	13.14	9.04	7.93	5.57	10.79	9.8	0.53	0.4	12.77	8.4	6.9	10.1
merged_3_10477833	6.16	6.82	6.22	1.29	1.54	11.63	10.61	8.51	5.41	14.08	12.38	0.37	0.11	7.92	8.24	7.25	8.85
merged_2_2057571	15.85	16.89	10.76	6.53	5.93	30.22	22.94	15.05	8.94	19.59	16.97	0.64	0.06	20.19	14.59	12.95	20.2
merged_4_9565908	10.19	7.79	6.53	1.5	0.48	19.85	14.79	12.65	5.49	23.36	13.69	0.25	0.19	15.45	11.32	3.72	9.28
merged_5_7755694	60.11	52.53	40.95	0.88	0.56	92.8	73.36	116.25	62.45	168.59	139.44	3.26	1.37	56.06	34.67	34.79	52.67
merged_5_10031191	5.04	3.84	2.79	0.24	0.05	14.6	11.52	5	5.24	12.88	12.76	0.34	0	5.19	4.1	1.34	2.44
merged_3_18791072	28.43	30.76	41.15	2.74	2.01	45.59	52.37	33.75	29.42	53.22	57.06	1.22	0.65	27.07	32.54	39.5	30.48
merged_1_20709410	16.28	13.06	20.64	1.19	0.99	23.19	25.58	14.16	13.74	19.94	19.33	0.64	0.15	17.87	19.59	17.23	16.71
merged_5_21969674	4.43	4.05	3.68	0.18	1.03	4.35	3.23	7.76	1.92	7.86	4.34	0	0	5.75	3.72	3.33	5.01
merged_4_5348890	2.63	1.92	1.93	0.23	0.29	4.22	4.27	1.78	1.79	4.09	3.42	0	0.14	2.33	1.22	2.41	1.91
merged_1_25675729	13.36	15.31	10.12	2.71	1.48	31.38	15.98	22.43	10.12	37.41	19.13	0.51	0.23	21.16	15.13	13.91	21.8
merged_1_21428649	8.49	10.18	7.57	5.67	12.23	4.14	3.01	11.89	7.06	4.07	2.5	0.61	0.04	3.42	3.69	2.19	1.88
merged_1_28912648	27.39	32.16	26.98	0.93	0.88	46.81	39.84	36.88	23.03	63.58	46.2	1.15	0.5	36.05	26.02	21.57	34.77
merged_1_21813261	13.84	14.08	8.44	7.87	4.88	9.23	6.49	10.96	6.78	2.54	1.38	0.29	0.07	27.76	18.33	10.72	21.6
merged_5_10737845	1.91	3.37	2.33	3.41	3.19	4.49	3.01	1.43	1.9	2.57	2.75	0.56	0	5.53	3.39	3.24	3.16
merged_2_10541468	2.54	1.56	1.38	0.81	0.36	4.46	2.63	6.3	2.3	11.19	5.2	0.6	0	2.7	2.1	2.94	4.02
merged_3_9445294	4.95	6.25	6.93	1.86	2.56	10.99	10.28	7.09	6.72	12.31	14.7	0.49	0.04	7.07	6.46	7.07	8.29
merged_5_12697692	2.15	2.59	1.73	2.03	1.33	1.76	1.62	1.61	1	0.38	0.21	0	0	4.6	3.02	3.6	10.51
merged_5_5624913	29.06	24.36	28.57	0.49	0.93	43.87	59.76	39.78	36.06	58.94	71.93	0.64	0.24	26.04	41.71	34.85	25.25
merged_2_12539346	12.08	14.39	10.38	1.81	0.82	26.98	19.86	23.34	14.75	40.91	31.54	1.28	0.32	18.74	13.16	11.16	18.59
merged_5_12468985	4.29	4.26	2.3	3.04	3.76	2.79	2.85	3.55	2.32	1.43	1.1	0	0.03	5.31	5.1	2.72	5.26
merged_2_178232	54.18	62.16	42.05	0.14	0.82	108.64	88.11	75.66	51.54	112.38	111.94	3.43	0.45	87.87	53.53	45.5	67.25
merged_4_5174966	25.33	29.96	35.44	28.36	21.7	40.93	41.12	21.93	18.18	32.44	26.42	0.74	0.51	37.3	52.98	38.03	40.75
merged_5_10102575	4.73	4.72	5.98	2.81	2.44	6.89	8.47	4.87	4.65	7.03	8.17	0.15	0.06	4.03	6.71	5.97	5.4
merged_1_19327762	5.1	6.11	4.93	0.42	0.26	13.55	7.12	6.2	2.62	13.75	7.76	0.51	0.26	11.44	6.09	5.55	7.54
merged_4_3506493	4.31	3.46	4.56	4.13	3.73	4.15	7.81	3.93	0.76	2.49	1.72	0	0	3.92	3.09	3.2	2.73
merged_5_22607505	5.95	6.94	3.65	0.15	0	6.55	3.23	4.59	2.88	8.91	6.25	0	0	5.01	2.84	1.96	5
merged_5_14945308	36.47	39.6	64.52	0	0.93	62.24	85.49	45.34	50.82	69.07	69.4	0.8	0.3	35.37	69.25	28.88	38.67
merged_1_16778351	39.63	38	14.12	23.42	20.19	18.16	7.5	32.78	12.31	13.07	3.06	1.26	0.43	63.88	25.36	53.69	71.59
merged_3_14631625	4.21	5.3	2.99	4.51	3.83	2.97	2.48	3.85	2.55	1.14	0.45	0.13	0.2	4.62	5.12	2.68	6.82
merged_5_22391665	252.91	349.59	183.78	4.81	5.48	637.51	695.38	457.41	373.16	646.89	854.52	17.69	6.81	373.34	383.86	225.37	301.43
merged_2_12413706	28.14	31.52	16.36	2.63	1.17	46.85	33.81	33.04	14.65	53.37	35.74	0.89	0.19	36.3	30.37	21.66	29.12
merged_5_21165019	18.96	19.16	24.1	3.79	2.94	29.59	30.21	23.4	19.1	36.49	31.81	1.26	0.22	23.31	33.02	20.09	22.08
merged_5_7467665	6.59	4.89	6.19	0.34	0.43	13.72	8.9	15.73	9.19	20.1	18.8	0.28	0	6.26	4.07	1.33	7.45
merged_5_10337464	4.97	6.38	7.18	1.21	1.45	17.32	11.82	12.07	5.77	13.4	11.11	0.05	0.12	10.16	9.01	7.17	9.49
merged_4_4579070	2.15	2.51	1.24	3.34	2.39	1.99	1.22	0.85	0.29	0.63	0.4	0.08	0.06	4.86	3.46	0.87	4.06
merged_2_2640677	1.47	2.05	1.47	1.47	1.28	2	2.28	2.33	1.25	2.44	1.46	0.12	0.04	2.62	2.58	2.2	2.49
merged_5_4207883	8.2	9.28	8.13	1.93	2.7	14.32	13.68	10.71	7.49	15.36	13.81	0.38	0.22	11.79	9.41	9.49	10.94
merged_5_7190154	28.41	26.84	9.97	0.53	0.11	46.7	28.56	25.8	16.25	66.4	35.77	1.89	0.22	38.05	23.87	17.02	23.25
merged_2_6862625	6.82	7.53	5.38	1.29	1.95	9.96	8.08	5.84	3.51	10.24	7.82	0.34	0.11	8.64	7.67	4.57	9.26
merged_5_14671784	3.57	4.28	2.28	1.16	0.8	5.94	4.14	4.35	1.96	5.62	3.82	0.11	0.1	6.08	5.6	3.08	6.25
merged_2_11160087	12.9	14.2	8.69	2.54	2.24	23.17	15.55	15.19	7.54	21.98	12.64	0.86	0.4	18.96	16.55	13.07	18.78
